-1 73091
stream uID   dID     length      uB     uBT    dB    dBT
307 1503	1545	670.945	17474	1	30452	2
308 1439	1503	659.543	-1	-1	17474	1
309 1338	1439	1167.838	-1	-1	-1	-1
310 1396	1439	354.983	17490	1	-1	-1
311 1293	1396	732.76	-1	-1	17490	1
312 1412	1473	1070.704	-1	-1	-1	-1
313 1428	1412	371.975	17468	1	-1	-1
314 1467	1428	1003.048	17505	1	17468	1
315 1380	1467	898.01	-1	-1	17505	1
316 1276	1412	988.636	-1	-1	-1	-1
317 1242	1276	1152.805	17502	1	-1	-1
318 1211	1242	319.507	17513	1	17502	1
319 1163	1211	438.436	-1	-1	17513	1
320 1177	1163	498.802	17460	1	-1	-1
321 1193	1177	869.815	-1	-1	17460	1
322 1081	1163	1490.701	11958	1	-1	-1
323 1078	1081	116.147	12003	1	11958	1
324 1203	1078	2099.058	17481	1	12003	1
325 1205	1203	79.321	-1	-1	17481	1
326 1263	1276	284.669	17998	1	-1	-1
327 1251	1263	626.585	17999	1	17998	1
328 1253	1251	241.444	29638	1	17999	1
329 1094	1253	2029.128	-1	-1	29638	1
330 1575	1461	881.361	-1	-1	-1	-1
331 1746	1575	1492.612	17973	1	-1	-1
332 1765	1746	106.126	18001	1	17973	1
333 1891	1765	752.813	18002	1	18001	1
334 1970	1891	630.811	17979	1	18002	1
335 1993	1970	201.666	-1	-1	17979	1
336 1603	1575	308.512	17982	1	-1	-1
337 1619	1603	564.032	-1	-1	17982	1
338 1418	1397	819.156	-1	-1	-1	-1
339 1337	1381	895.986	-1	-1	-1	-1
340 1434	1356	961.58	17996	1	-1	-1
341 1508	1434	1684.393	-1	-1	17996	1
342 1518	1508	77.705	18030	1	-1	-1
343 1524	1518	149.045	18029	1	18030	1
344 1653	1524	1004.208	-1	-1	18029	1
345 1526	1508	200.997	18031	1	-1	-1
346 1621	1526	1218.265	17993	1	18031	1
347 1667	1621	474.622	-1	-1	17993	1
348 1680	1667	107.184	17968	1	-1	-1
349 1743	1680	888.699	-1	-1	17968	1
350 1751	1743	31.515	17969	1	-1	-1
351 1766	1751	1453.79	18010	1	17969	1
352 1789	1766	94.65	-1	-1	18010	1
353 1807	1789	116.134	-1	-1	-1	-1
354 1851	1807	854.512	-1	-1	-1	-1
355 1898	1851	415.81	-1	-1	-1	-1
356 1972	1898	876.489	17992	1	-1	-1
357 2096	1972	1236.09	-1	-1	17992	1
358 2153	2096	1197.616	-1	-1	-1	-1
359 2033	2096	766.472	17978	1	-1	-1
360 1991	2033	487.17	17959	1	17978	1
361 1929	1991	658.672	-1	-1	17959	1
362 2001	1898	731.668	18008	1	-1	-1
363 2048	2001	482.938	-1	-1	18008	1
364 2047	2048	167.058	18007	1	-1	-1
365 2123	2047	796.573	18005	1	18007	1
366 2393	2123	2611.621	-1	-1	18005	1
367 2149	2048	1060.93	-1	-1	-1	-1
368 2147	2149	312.017	-1	-1	-1	-1
369 2106	2147	542.194	-1	-1	-1	-1
370 2202	2147	593.823	-1	-1	-1	-1
371 2283	2149	1185.961	-1	-1	-1	-1
372 1849	1851	36.439	18006	1	-1	-1
373 1862	1849	271.029	17961	1	18006	1
374 1764	1862	906.826	18004	1	17961	1
375 1763	1764	42.587	-1	-1	18004	1
376 2007	1807	1353.182	-1	-1	-1	-1
377 2062	1789	2429.525	-1	-1	-1	-1
378 1903	1743	1090.014	-1	-1	-1	-1
379 1906	1903	70.574	18016	1	-1	-1
380 1919	1906	194.952	31968	2	18016	1
381 2118	1919	1518.934	18013	1	31968	2
382 2165	2118	514.732	-1	-1	18013	1
383 1897	1903	807.411	-1	-1	-1	-1
384 1933	1897	377.69	-1	-1	-1	-1
385 1954	1933	212.609	18017	1	-1	-1
386 2093	1954	1213.472	-1	-1	18017	1
387 1994	1933	389.141	18018	1	-1	-1
388 2099	1994	961.499	-1	-1	18018	1
389 1801	1897	816.968	-1	-1	-1	-1
390 1664	1667	38.029	18026	1	-1	-1
391 1606	1664	1995.601	-1	-1	18026	1
392 1317	1294	198.667	18014	1	-1	-1
393 1383	1317	583.734	18015	1	18014	1
394 1456	1383	919.037	-1	-1	18015	1
395 1486	1456	760.549	-1	-1	-1	-1
396 1565	1456	1034.852	17974	1	-1	-1
397 1578	1565	427.102	-1	-1	17974	1
398 1254	1172	843.475	-1	-1	-1	-1
399 1152	1034	2042.675	-1	-1	-1	-1
400 1157	1152	34.955	-1	-1	-1	-1
401 1167	1157	94.64	-1	-1	-1	-1
402 1183	1167	445.325	-1	-1	-1	-1
403 1190	1183	40.04	-1	-1	-1	-1
404 1194	1190	335.103	-1	-1	-1	-1
